EventName	LSTofGrennwichTaskStart	TaskStartTime	TaskEndTime	EventStartTime	EventEndTime	TargetStartPosX	TargetStartPosY	TargetStartPosZ	TargetEndPosX	TargetEndPosY	TargetEndPosZ	SystemPosEventStartX	SystemPosEventStartY	SystemPosEventStartZ	SystemPosEventEndX	SystemPosEventEndY	SystemPosEventEndZ	SystemPosTaskStartX	SystemPosTaskStartY	SystemPosTaskStartZ	SystemPosTaskEndX	SystemPosTaskEndY	SystemPosTaskEndZ	PowerDODEventStart	PowerDODEventEnd	SSDRbitsES	SSDRbitsEE	
t65	134.8938724479	2454680.0122685186	2454680.0123263891	2454680.0122106480	2454680.0123263891	-4954.2638654652	-3704.2657505971	1553.8070636564	-4952.9129358977	-3706.0718623790	1553.8070636564	2282.7405770223	5870.2748469587	2136.6154155847	2209.5042090178	5893.0493855792	2144.9047089429	2246.1224227723	5881.6621070168	2140.7600588963	2209.5042387700	5893.0493763271	2144.9047055754	0.0635000345	0.0641000349	0.0001021428	0.0001021428	
t65	134.9356531356	2454680.0123842591	2454680.0124421297	2454680.0123263891	2454680.0124421297	-4951.5613587779	-3707.8774669558	1553.8070636564	-4950.2091125339	-3709.6825931455	1553.8070636564	2209.5042090178	5893.0493855792	2144.9047089429	2136.2678410132	5915.8239241997	2153.1940023010	2172.8860547678	5904.4366456373	2149.0493522544	2136.2678707655	5915.8239149476	2153.1939989335	0.0641000349	0.0647000352	0.0001030974	0.0001030974	
t65	134.9774339914	2454680.0125000002	2454680.0125578702	2454680.0124421297	2454680.0125578702	-4948.8562082187	-3711.4872261772	1553.8070636564	-4947.5026569062	-3713.2913512956	1553.8070636564	2136.2678410132	5915.8239241997	2153.1940023010	2063.0314730087	5938.5984628202	2161.4832956592	2099.6496867632	5927.2111842578	2157.3386456126	2063.0315027610	5938.5984535681	2161.4832922917	0.0647000352	0.0653000355	0.0001040520	0.0001040520	
t85	135.0192146791	2454680.0126157408	2454680.0126736113	2454680.0125578702	2454680.0126736113	-1562.0716529384	-5873.3030123395	1935.1680720544	-1559.9301032401	-5873.8721638009	1935.1680720544	2063.0314730087	5938.5984628202	2161.4832956592	1989.7951050042	5961.3730014407	2169.7725890173	2026.4133187587	5949.9857228783	2165.6279389707	1989.7951347564	5961.3729921886	2169.7725856498	0.0653000355	0.0659000358	0.0001050066	0.0001050066	
t31	135.0609953668	2454680.0127314813	2454680.0127893519	2454680.0126736113	2454680.0127893519	1788.3112585118	5727.9105800820	2161.8544863226	1786.2227048364	5728.5622296928	2161.8544863226	1989.7951050042	5961.3730014407	2169.7725890173	1916.5587369996	5984.1475400612	2178.0618823755	1953.1769507542	5972.7602614988	2173.9172323289	1916.5587667519	5984.1475308091	2178.0618790080	0.0659000358	0.0665000362	0.0001059612	0.0001059612	
t85	135.1027762226	2454680.0128472224	2454680.0129050924	2454680.0127893519	2454680.0129050924	-1553.5042282774	-5875.5749281576	1935.1680720544	-1551.3618680324	-5876.1409511758	1935.1680720544	1916.5587369996	5984.1475400612	2178.0618823755	1843.3223689951	6006.9220786817	2186.3511757336	1879.9405827496	5995.5348001193	2182.2065256870	1843.3223987474	6006.9220694296	2186.3511723661	0.0665000362	0.0671000365	0.0001069158	0.0001069158	
t31	135.1445569103	2454680.0129629630	2454680.0130208335	2454680.0129050924	2454680.0130208335	1779.9556369913	5730.5126036925	2161.8544863226	1777.8661351560	5731.1612066144	2161.8544863226	1843.3223689951	6006.9220786817	2186.3511757336	1770.0860009906	6029.6966173023	2194.6404690918	1806.7042147451	6018.3093387398	2190.4958190452	1770.0860307428	6029.6966080501	2194.6404657243	0.0671000365	0.0677000368	0.0001078704	0.0001078704	
t85	135.1863375979	2454680.0130787035	2454680.0131365741	2454680.0130208335	2454680.0131365741	-1544.9335165570	-5877.8343420931	1935.1680720544	-1542.7903158445	-5878.3972445733	1935.1680720544	1770.0860009906	6029.6966173023	2194.6404690918	1696.8496329860	6052.4711559228	2202.9297624499	1733.4678467406	6041.0838773603	2198.7851124033	1696.8496627383	6052.4711466706	2202.9297590824	0.0677000368	0.0683000371	0.0001088250	0.0001088250	
t85	135.2281184537	2454680.0131944446	2454680.0132523146	2454680.0131365741	2454680.0132523146	-1540.6469100363	-5878.9593655906	1935.1680720544	-1538.5033166672	-5879.5207005566	1935.1680720544	1696.8496329860	6052.4711559228	2202.9297624499	1623.6132649815	6075.2456945433	2211.2190558081	1660.2314787360	6063.8584159809	2207.0744057615	1623.6132947338	6075.2456852911	2211.2190524406	0.0683000371	0.0689000375	0.0001097796	0.0001097796	
t85	135.2698991414	2454680.0133101852	2454680.0133680557	2454680.0132523146	2454680.0133680557	-1536.3595015244	-5880.0812584305	1935.1680720544	-1534.2154821409	-5880.6410346177	1935.1680720544	1623.6132649815	6075.2456945433	2211.2190558081	1550.3768969770	6098.0202331638	2219.5083491662	1586.9951107315	6086.6329546014	2215.3636991196	1550.3769267292	6098.0202239116	2219.5083457987	0.0689000375	0.0695000378	0.0001107343	0.0001107343	
